x,P(X1=x)
0,0.3055555555555556
1,0.0
2,0.0
3,0.0
4,0.027777777777777776
5,0.05555555555555555
6,0.08333333333333333
7,0.1111111111111111
8,0.1388888888888889
9,0.1111111111111111
10,0.08333333333333333
11,0.05555555555555555
12,0.027777777777777776
