x,P(X1=x)
0,0.15972222222222224
1,0.0
2,0.0
3,0.0
4,0.027777777777777776
5,0.08333333333333333
6,0.14583333333333331
7,0.18055555555555558
8,0.1736111111111111
9,0.12499999999999999
10,0.06944444444444443
11,0.027777777777777776
12,0.006944444444444444
