x,P(X1=x)
0,0.09297052154195008
1,0.0
2,0.0
3,0.0
4,0.009070294784580497
5,0.027210884353741492
6,0.05668934240362811
7,0.09977324263038546
8,0.1587301587301587
9,0.17233560090702946
10,0.1655328798185941
11,0.13605442176870747
12,0.08163265306122448
